Eb/N0 [dB],P_ep,P_eb,Gc,Ga
1.0,0.363086,0.0853788,-1.2773244175842542,1.5490195998574319
1.24,0.331468,0.0773074,-1.1836463061909703,1.5490195998574319
1.48,0.301245,0.0698279,-1.1022548375908934,1.5490195998574319
1.72,0.269536,0.0619409,-0.9873190520882492,1.5490195998574319
1.96,0.240969,0.0549303,-0.8943084181112266,1.5490195998574319
2.2,0.212894,0.0481877,-0.7940976069187062,1.5490195998574319
2.44,0.187149,0.0420495,-0.7025298877111741,1.5490195998574319
2.6799999999999997,0.16259,0.0363118,-0.6080966167041146,1.5490195998574319
2.92,0.139408,0.03091,-0.5046944537929368,1.5490195998574319
3.16,0.118403,0.0260888,-0.40681138643331893,1.5490195998574319
3.4,0.099331,0.0218176,-0.3136920442480995,1.5490195998574319
3.6399999999999997,0.08264,0.0180081,-0.21938975548403938,1.5490195998574319
3.88,0.067124,0.0145978,-0.11784255952660061,1.5490195998574319
4.12,0.05481,0.0118521,-0.04087032313820327,1.5490195998574319
4.359999999999999,0.043722,0.0094489,0.04196326611878387,1.5490195998574319
4.6,0.03426,0.0073589,0.13482477436428386,1.5490195998574319
4.84,0.026609,0.005694,0.21403922713567258,1.5490195998574319
5.08,0.020658,0.0044012,0.2745147583000964,1.5490195998574319
5.32,0.015316,0.0032323,0.3714033495577027,1.5490195998574319
5.56,0.011296,0.0023997,0.43529257539325616,1.5490195998574319
5.8,0.008204,0.0017398,0.5028559157856547,1.5490195998574319
6.04,0.005813,0.0012347,0.5701379675206804,1.5490195998574319
6.279999999999999,0.004044,0.00085,0.6432591745046405,1.5490195998574319
6.52,0.002797,0.0005822,0.7005764478529652,1.5490195998574319
6.76,0.001848,0.0003845,0.7660923294993687,1.5490195998574319
7.0,0.001177,0.0002498,0.8237075855438896,1.5490195998574319
